sleeper_id,fantasypros_id,mfl_id,name,merge_name,position,team
5001,17349,13772,Dalton Schultz,dalton schultz,TE,HOU
4017,16398,13113,Deshaun Watson,deshaun watson,QB,CLE
4046,16413,13116,Patrick Mahomes,patrick mahomes,QB,KCC
4034,16393,13130,Christian McCaffrey,christian mccaffrey,RB,SFO
4018,16420,13131,Joe Mixon,joe mixon,RB,FA
4035,16421,13132,Alvin Kamara,alvin kamara,RB,NOS
4147,16423,13133,Samaje Perine,samaje perine,RB,CIN
4137,16447,13146,James Conner,james conner,RB,ARI
4037,16406,13163,Chris Godwin,chris godwin,WR,TBB
4039,16433,13164,Cooper Kupp,cooper kupp,WR,SEA
4066,16411,13189,Evan Engram,evan engram,TE,DEN
4033,16399,13192,David Njoku,david njoku,TE,LAC
4177,16489,13289,Mack Hollins,mack hollins,WR,NEP
4217,16499,13299,George Kittle,george kittle,TE,SFO
4199,16673,13319,Aaron Jones,aaron jones,RB,MIN
3163,15501,12611,Jared Goff,jared goff,QB,DET
3257,15642,12616,Jacoby Brissett,jacoby brissett,QB,ARI
3294,15600,12620,Dak Prescott,dak prescott,QB,DAL
3198,15514,12626,Derrick Henry,derrick henry,RB,BAL
3214,15561,12676,Hunter Henry,hunter henry,TE,NEP
3202,15581,12677,Austin Hooper,austin hooper,TE,ATL
3271,15623,12678,Tyler Higbee,tyler higbee,TE,LAR
3321,15802,12801,Tyreek Hill,tyreek hill,WR,FA
2449,13981,12186,Stefon Diggs,stefon diggs,WR,WAS
2505,14104,12263,Darren Waller,darren waller,TE,CAR
2216,12119,11671,Mike Evans,mike evans,WR,SFO
2133,12123,11675,Davante Adams,davante adams,WR,LAR
1373,11687,11150,Geno Smith,geno smith,QB,NYJ
1479,11616,11222,Keenan Allen,keenan allen,WR,IND
1466,11594,11244,Travis Kelce,travis kelce,TE,KCC
1339,11689,11247,Zach Ertz,zach ertz,TE,PHI
1166,11177,10700,Kirk Cousins,kirk cousins,QB,LVR
421,9451,9431,Matthew Stafford,matthew stafford,QB,LAR
96,9001,7836,Aaron Rodgers,aaron rodgers,QB,PIT
